user_id,items_count
76561198061769804,40
76561198061475436,0
76561198051258119,73
76561198065771371,64
nubquake123,76
Pyromanic,41
76561198109656922,43
76561198149432604,14
Unplanned_stategy,39
CobRazor,70
relesprit,104
76561198090294067,59
jimmyarcexd,1
talove112345,105
76561198055094875,41
WitchHunter4542,75
76561198203244300,40
pwrt,51
wantmahbody,83
76561198115868847,33
benedictcuminherbatch,5
76561198031207016,41
76561198089077856,4
76561198043458582,168
kerim77,0
smashiroshh,172
shark854,37
76561198062876401,153
76561198011661078,11
PabloSanches,116
76561197991074667,14
killbunny38,110
76561198047630659,133
76561198069713121,115
1997-07-06_J077,7
76561198076248461,19
1337lolroflmao,197
76561198080832419,10
76561198151645088,27
IAA_Recon_Dropbear,195
sithjjf,0
goonbagger,30
76561198060039459,35
OzfurAtlas,125
76561198065593074,111
madmax64,81
76561198044169764,57
euzi,19
76561198074935997,0
76561197961778802,0
lucasrash,27
76561198016602703,0
76561198082845362,6
76561198087767019,25
thisissohardtomakeoneup,15
76561198087010391,7
76561198015747875,0
66666669999999,121
76561198061174192,131
DoaFapbeforeaNap,114
ReMiXOfficalSteam,106
Wilfire77,113
76561198042730234,36
76561198069159579,25
76561198086476445,18
76561198085016240,59
76561198060808273,310
76561198084390807,26
76561198003688205,7
Mastic,365
Scooterinooo,40
76561198028286104,30
76561198088447673,36
tarjla,193
deathnz1,250
readingthis4noobs,57
SonicMCGamer,19
xXBoss1Xx,3
76561198084698198,143
76561198104393251,51
Borne901,58
76561198075322986,91
redsncrimson,65
76561198151910904,38
H1DD3NT3RR0R,108
76561198071214618,93
76561198115115631,58
sisiiik,33
76561198071175142,67
t8s,70
pikawuu2,100
Sammeh00,96
godlike_bot,33
76561198044204914,0
dpswaffles,18
NoObFiGHtEr,49
Michaelele,66
76561198045754869,124
76561198076098774,9
76561198074963071,24
76561198103253374,26
76561198048417105,12
76561197989175394,31
76561198090842891,40
76561198058706736,20
76561198055767971,95
76561197998052647,113
adohya343,137
76561198145436942,34
jjas01,0
3xotic26,153
iamthetrashlord,191
nothingheretrustme,44
76561198071253729,43
3dster,113
76561198041808338,81
76561198016685643,124
_za,0
76561198035588228,0
76561198079990063,26
Forty-Nine,114
76561198051017916,763
L4M1NAS,74
emurphy8,29
76561198096766604,48
Sephirical,130
76561197995322437,36
imsojipper,196
76561198066840831,7
76561198096220900,38
76561198084542731,61
fullswag0to100realquick,24
76561198061913628,0
76561198102121026,1
76561198023094381,0
76561198103671881,96
mrpfresh,791
GamerFag,64
76561197970628046,83
76561198013858002,40
76561198058570014,67
76561198045133986,43
CocoRichy,0
EHS-R3AP3R,0
76561198002820828,129
chidori_647,723
76561198092227136,333
76561197975388604,0
hellcat59,55
76561198007584361,138
tbimperator,279
Allahu_Akbar666,86
ulramite,135
76561198080534850,63
-GM-Dragon,106
LeoRocksAce,24
76561198054040292,90
76561198078799606,0
76561198155458511,56
76561198045065985,0
I_DID_911_JUST_SAYING,154
76561198077035732,14
76561198072625764,44
A_Je_100,13
imagoatieatpoo,22
750805,690
76561198080881726,43
Thatishayden,122
76561198033864626,0
Flabbernackle,261
diabeticfuck,121
magicalpony,6
76561197962104795,79
76561198054465623,230
76561198074257942,178
aaropro,36
Aaron_ggf,664
76561198074324939,0
abhorence,0
abiam,46
76561198037346576,89
FrankoWalker,53
LightfootSword7,255
DaDanMan,184
SALTTHEW0UND,114
abuffalostuckinatree,0
express157,75
76561198070215484,0
76561198074644990,132
76561198064304806,36
3456457568,90
76561198045776691,0
TomoeMamiewe,63
76561198057086148,66
Acidius99,128
76561198067150343,105
acorn13,404
adamcookie,40
AddzyTheBaddzy,138
mrfunkyjunkie,0
76561197997824340,255
76561198076154360,18
76561198055524901,28
mradobe7,250
zomboy151,164
76561198167207237,58
cancerkek,50
matto1499,55
76561198073508075,47
76561198074323290,0
76561198090899557,62
76561198072468669,12
Advancebest,92
advenger95,104
EndAtHallow,66
76561198060820384,24
76561198063624801,87
aeryal,55
vault_brothers,59
After2night,30
76561198029090446,79
76561197968819541,39
76561198070263209,0
76561198015968275,278
defender_10,54
76561198006540520,0
Agiegamma,109
76561198082614708,28
76561198066465411,38
Agronoth,206
UnholyFallenAngel,83
Ricardio556,113
madgamerzzz,15
76561198068565589,120
SlutOnTheSpit,62
76561197974897475,0
WestyGaming,89
76561198031278382,0
NaruseAiria,390
airro,0
76561198265081359,16
RemixEbola,0
76561198046844795,11
76561198067713802,46
76561198187212131,29
76561198044678148,0
rjh91,51
Alex680,0
alansiulun,47
whitewolfang1,0
Albolah,11
76561198003056556,557
76561198063941075,228
76561198088886304,97
maxpaynepillkiller,207
AlexNoClutch,0
Alexwai04,0
76561198056092813,236
76561198095481910,74
76561198060059014,0
76561198089024454,54
76561198034129825,111
76561197994664479,0
76561198164545985,4
tninjat,26
76561198068935240,90
76561198091368975,0
76561198036955150,24
76561198018840908,101
AlkalineDeath,53
76561198075935236,42
Vigilante8,0
Jupeter117,114
gsgg,104
76561198075258452,50
Jesusunholy,22
mintifreshbadger,101
HenryCT,35
AlpacaRevolution,57
76561197996305896,72
AlphaBryn444,99
76561198071952798,0
76561198009001563,245
76561198016753953,31
smegmyfoodle,78
76561198141882120,0
altas2011,44
silentbroadcaster,116
76561198057869849,84
76561198058836921,0
lol_ursuchanoob,160
rhysf,51
76561198098156489,57
AMLN,0
76561198040021446,57
ShadowBall4011,0
76561198035890730,30
AMV72,1041
76561198069170979,50
76561198085956238,88
76561198132540690,55
711armageddoncarmageddon,96
76561198058301224,397
76561198055326484,25
76561198034868596,140
AncientBlade,23
Andraison,84
76561198048401235,78
76561198055790408,0
76561198050465176,72
76561198026258913,109
76561198069560699,76
76561198099625419,198
someone6245,116
76561198084032274,70
76561198030772859,102
Angrovar,82
AngryAinsley,101
76561198069005048,32
-AnimeIsMyThing-,127
uradumbtit,246
76561198037038784,136
IKillNoobsFirst,48
76561198037888300,124
operationblueberry,65
1234865654,76
76561198040925596,0
antacy,35
76561197992148038,523
76561198084123358,35
76561198034942509,212
76561198032377745,71
capitaomurilao,63
Apachehavoc,81
ApexNZ,62
76561198039441595,389
76561198036687918,130
Apollopepsi,96
benjamin27,105
AppoGetsSuperAdmin,54
ARRIVE,45
76561198071475367,37
r3ap3r78,331
Aquilares,296
76561198049916759,0
76561198065064829,10
XABLAUziitu,86
76561198012909706,182
aarcanicuss,21
dragonchief,264
76561198040530605,120
76561198060989765,0
76561197974500703,309
76561198047185525,114
mestuajix2,8
76561198067188826,34
ArcticTek,62
76561197974465310,72
sweep6060,107
76561198090279813,0
bilyitu,53
76561198021244661,0
76561198088538797,53
76561198089844789,43
76561198072861800,7
deployablearchnagel,119
rotflmaoman,120
76561198088670023,54
76561198081028176,66
76561198093106303,0
ArmouredForBattle,6
armouredmarshmallow,119
darrenfordfalcon,85
76561198020928326,110
76561198045570160,131
arockstar28,38
Array71,222
alexms69,0
76561198039874575,103
arronlim13,131
76561198042389215,170
76561198006534186,81
artej96,12
ARTHERDUNGER10,167
Mackus1011,267
76561198041877981,83
ARZARNAR,119
76561198089950447,40
sontersaurus,0
darkmassieh,174
Boomblasty,12
asianturtlefrenzy,87
Edmund28,38
blowjobsfurdayzandgayz,104
76561198082992295,21
LaLocaDeLosDulces,48
76561198096064761,12
76561198064352761,117
assassin_warman,165
76561198019431054,137
Astrelt,297
bakhtiar93tiarstudio,0
bobjimmy007,126
76561198091740831,25
76561198095380303,68
AtomicWoodchuck,0
76561198050251204,0
76561198052003136,27
omgihaveawebpage,126
Swish0009,181
76561198030943851,81
Aurora99,136
76561198053071988,174
minionking,22
76561198083375450,215
scroopy22,460
76561198078730600,0
76561198076984454,31
76561198091054851,144
iDestrix,46
auzmoz,49
auzzie_96,92
76561198009353440,43
76561198082020576,47
fatrangacuntnolifevirgin,52
helvisavillon,2
76561198080015704,27
76561198040602004,75
76561198082959786,25
76561198064150679,86
76561198110293299,80
cam5699,105
de_triggered,53
76561198071748311,29
76561198045888087,0
azzydazzy,136
76561198048900256,44
76561198000392178,0
Azrafael,73
-Azsael-,167
76561198076301023,12
arewefaded,232
wolfhunter,0
76561198065247809,170
76561198046512409,0
76561198086081043,54
hoarbiscuit,183
bohgeraltofrivia,130
TeH-B-Rad,128
BAW_Killer,134
moriceplease,20
gamerdude7892,72
76561197970168558,33
Arsenal_,0
timothyshen,20
76561198227794828,53
2ez4medick,32
76561198118595651,35
BBBirb,51
AgentXiri,37
76561198018950738,138
76561197998761331,0
hamfritta,168
76561198064579722,54
76561198096750939,0
potatoskins,72
crispymemesmantheyremyfavourite,97
76561198044593618,41
76561198074409406,57
76561198051433041,0
76561198156282807,0
76561198049617612,102
H-Alo,86
76561198042365104,0
76561198075444114,43
420Blz,199
76561198076548816,73
76561198026741163,0
76561198075039895,35
chillrend,56
76561198218877443,3
76561198070149038,31
76561197994407780,21
76561198035548591,15
76561198068765460,0
BarretaJrs,0
Gborges,122
lukeyturley,42
SergeantBash111,191
76561197980751730,0
76561198071872532,26
PolygonCloud,126
ZUERA12,197
76561198083661294,1
76561198043660058,118
76561198095142204,71
BOB_200,121
76561198070735033,130
76561198018560501,44
76561198069458790,0
76561198010642927,196
76561198051148175,55
76561198047208452,285
bcott,0
rangi92,0
generalale,59
76561198027831921,14
76561197992830435,0
brendoboy,255
76561198071234254,50
76561198165870150,38
76561198083049918,36
76561198072652548,102
76561197988934555,0
Infixation,601
76561198071162228,40
brodo764,117
76561198047304525,177
76561198068855162,115
76561197998217937,0
76561197994969639,69
76561198200015694,30
76561198064016444,58
minecraft123,56
76561197960694096,187
JuanManSnipez,102
Ben_Andy,54
Bennysaputra,87
76561198067021476,44
76561198190487725,38
76561198045071942,67
76561198027081791,328
Bhappiikhat,29
76561198027046431,63
76561198087471896,13
76561198082863312,8
76561198063323473,0
Ahahahahahahahahahahahahahahaha,59
BITCHPLESE,139
Too_1337,264
76561198069143001,62
76561198074755143,229
limabeansaregross,158
ChunkyAsCharged,0
76561198075175410,83
76561198045214274,40
kinglemon1222,128
76561198050404009,51
76561198030636321,139
76561198007342405,214
IJustWantedToTalk,0
76561198081885254,34
76561198034643189,0
LlamasInNigjamas,39
mavros88,0
76561198048370750,58
76561198035363871,129
76561198080148967,0
Hummingsenpai,22
bioturdz,132
76561198018845815,63
CHAAANG,78
76561198056980314,74
76561198077586769,66
76561198043296029,49
76561198048737111,0
bitmat,385
76561198030806320,0
76561198028483487,88
Ghoster09,54
76561198081496844,80
180577,66
BlackHeart,17
76561198105387448,0
76561198078725425,0
Barridos,45
76561198053775195,16
Blackhawk611,125
MRSALM0N,269
76561198090119638,7
76561198039778856,114
76561198035782795,96
76561198077278011,84
76561197988863895,97
76561198077116471,7
76561198007478325,421
76561197988976770,46
76561198042728201,0
76561198171166530,15
hbk1462,75
76561198088724903,0
BurntBlizzardZ,0
blocks477,0
76561198044500343,81
76561198057521157,88
76561198053766465,73
76561198083368833,82
76561198057389499,0
FHK,104
76561198082282442,22
Blue333,65
76561198030735076,46
Bluegills,1280
76561197970931849,0
BlueWombat5242,0
76561198066253111,48
rrbr,111
13lazer,398
76561198070259755,11
76561198044344399,84
76561197999613236,247
RespekPlox,39
76561198062288797,48
76561197989449545,49
bobseagull,137
bobsterman,63
76561198068305940,39
bokkkbokkk,0
Bonesdontrattlethem,199
76561198062403736,118
76561198073642113,76
76561198055648263,81
boogs17,263
76561198086083118,79
76561198211433640,14
76561198047032085,2
ilyjoepoe,10
Mantrouminati,44
Gameguilder,45
76561198064747645,95
SamoanTurtle,29
Booyahoo,70
hididdlyhoe,0
76561198049456280,191
knuckleface,145
76561198027225504,161
dicksoutforboromir,156
dropssdrop,15
76561198041245503,63
kafugax,27
probotsteve,244
76561198094177304,122
76561198069093971,17
76561198060697096,111
76561197977543317,159
boydo,144
BrutalLegend69,109
76561198007539695,1044
76561198064026657,193
76561198024450886,40
76561198057745573,11
saint556,583
Brayneeah,158
xythesis,264
76561198068581244,19
BreadCommanderz,89
76561198079362142,42
brettebear,87
76561198040467357,459
metiqu,23
Brianseb,0
restinspaghettineverforgetti,54
spike_heart,116
brocky0405,99
76561198046094676,154
76561198087095625,44
Vladimirputinisgreatman,237
76561198082582573,55
76561198053917005,56
76561198067729563,21
76561198071647862,54
Br0wni3,25
76561198088957798,76
76561197988846047,204
sdarkneeds,96
76561198046611233,0
76561198079351819,35
Brutaka3,171
76561198093381429,0
76561198085582521,0
76561198065166613,42
bobcookies69,5
1522188745,83
76561198110065267,101
thebtb,253
MoniqueTron,96
76561197961454067,0
76561198059167106,66
76561198105270589,55
notbudds,46
Trutle,146
BugsyBro,223
76561198041518533,99
76561197989359805,8
76561198078414685,0
UNI-Juan,9
Jyep,70
76561198025636863,15
76561197978008006,33
76561198074561346,94
76561198094074209,157
76561198054155652,347
76561198036974255,91
76561198020272265,175
743748734,19
burnilovescod,0
BurningCassette,91
R62153,57
76561198087011672,57
BushyGoom,0
busternut,75
76561198075981950,77
76561198105846578,97
Butteryyy,18
76561198079326390,120
76561198142749308,91
897w463824638109276,55
76561198000468907,0
Butterz,128
8789568,60
LondonKeyes,0
76561198112547239,118
ByzGirl,0
tongtel,71
noblezinho,81
76561198055646476,0
76561198097794993,23
C13GE,190
C14M8S,95
1122305938,177
76561198069050565,69
Cabey64,0
Cabjoy,208
76561198082278758,38
76561198053685392,200
Stormaggen,93
gusvu,191
76561198059718900,169
Punixa,112
76561198045679186,112
76561198051084367,92
76561198044402508,93
76561198081987102,74
76561197996741396,0
calii,33
76561198084718144,38
76561198077034833,12
calypto52,377
camduman,80
camquarter,94
76561198056859428,52
aquelecaraqfazaquilo,288
Camothecomando,176
76561198079009374,101
76561197992910116,184
jonjon4351,58
76561198043609375,87
CandlewickNZ,0
76561198071651813,0
76561197989083035,0
76561198008551473,0
76561198039236799,22
ThePyrite99,86
76561198062276935,185
76561198097295378,18
76561198036996272,122
8m96,6
76561198048121243,220
CAPTAINVRITRAS,8
ConkerBirdy,384
76561198078194423,50
76561198067657905,51
76561198070072786,86
76561197966764681,223
76561198069606031,0
76561198007988939,41
CapyOfficial,20
ca_ra_cal,0
76561198067721589,126
gsteambath,14
76561198049715896,56
76561197996092338,347
carouserwhite,87
76561198077709322,131
76561198045631910,48
76561198063633577,21
76561198060576252,9
76561198078670623,48
Lord_Casso,70
76561198058789410,38
76561198050876555,20
76561198059948130,77
76561198038766477,97
76561198070087725,107
76561198055483848,0
76561198042335464,98
azkhernan123,8
76561198052180785,171
fsfs546hd,81
CCcorye,113
76561198045283919,36
76561198081438874,81
76561198078509867,248
76561198046848291,79
WeabDestoryer,57
76561198072411281,74
76561198032143135,0
CrazyGiraffe71,91
76561198162056324,16
76561198240923172,32
cgoober2000,113
Chacob,163
24902,45
phoenixbasileus,0
chalkmetal,260
kggj,573
asdasdfsadgdfhfgjggj,35
76561198060996316,185
elheat,154
bobjames1234,6
ElementalGodChaos,167
76561198077997574,85
76561198081095968,35
76561198065784635,93
76561197971917242,62
melonmaniac,46
76561198083201608,52
76561198048491595,247
76561198074108172,55
charmaps5,0
76561198028094250,52
mexz1999,106
IchMasKung,115
HoxtonPleaseDontSueMe,104
76561198051215704,88
76561198058842042,0
76561198074291619,0
cheetahpocalypse,122
76561198067182841,29
Axzothrift,66
76561198066003101,149
76561198283109848,24
76561197960281419,26
Chermoil,64
Urtle1,223
76561198069408134,0
76561198049867810,129
harharharharhar,166
76561198074235306,251
pussyhunter121,29
76561198077733060,20
DimSums,56
76561198091638558,96
76561198076375452,98
76561198040845885,85
chicken_tonight,72
chidvd,6410
76561198056960847,21
76561198024006038,119
chillifuzzball,291
76561197994523427,10
76561198052700471,55
76561198097450390,104
76561197981448997,147
76561198064984988,242
76561198061569624,0
aerpub,219
76561198078733772,13
76561198061273070,80
Isiswannabe,100
SmeshDoge,45
Chockie,75
76561198065663269,100
76561197961840584,97
chronoris,50
76561198080622032,19
76561198037342853,50
76561198060835696,38
76561198062869989,0
harrisonnorris,72
zaper151,99
76561198018913829,17
StrikerAustralia,54
pongping7,61
76561198142474106,14
Los_Shmurdos,61
ciborg2000,80
76561198087555027,0
Mikinmash,140
76561198060510583,70
76561198074561107,15
76561197976842635,20
76561198046034574,55
Norf_Norf,0
JohnEverywhere,0
76561198041840982,0
76561198056339034,0
76561198105020268,0
76561198005413640,19
OfficialSenix,45
mike14476,99
76561198066789278,29
kelby003,51
Mattress121,245
Clawz3z,85
76561198079650317,71
76561198071207551,57
76561198061039259,136
climax2005,4
76561198074202726,75
76561198074347537,37
76561198084239790,24
76561198082626118,47
SurfChicken,23
76561198091507052,106
76561198126142125,0
Clouwolf,47
76561198043339975,201
69bmw,34
76561198067414480,53
76561198076145661,0
76561198078246064,140
iamshingo,95
76561198077538653,42
SirParadiseLost,189
76561198064841423,56
Deerunken,196
Rafantasma,257
76561198079756695,42
minguscannon,124
SupermanSocks17,76
76561198061456632,182
76561198049614185,159
76561198046958203,75
76561198135044903,85
76561197971226968,0
76561198037893945,48
combatDIDDLE,27
76561198026344945,136
76561198030536036,0
UnseenEvangelist,0
jichaelcoaching,151
CompoBlue,157
76561198085854476,0
FreshlySqueezedOrangeJukes,103
MT-101,0
76561198073807760,49
76561198069839577,43
76561198172099661,19
ConjuredMadness,140
76561198093387021,2
76561198067140353,0
cookieblade,35
coolslayer666,113
218939137821738213127983,92
76561198072445092,61
76561198051864639,43
coolbolt1337,11
cheese_is_illuminati,90
76561198042756236,0
76561198062774164,0
coreytheawesomest,31
ndrss,93
76561198081677554,48
Gamercubeeyes,215
76561198091515229,155
NotJustAnyOrange,41
cosmicguy22,42
gregurek,0
Cosmonaut123456789,480
76561197971591275,127
76561198065379833,69
76561198067923747,41
76561198086931177,11
TheCheekyOne,233
Cow666,116
aProfileInTheMidOfNowhere,0
Cozillaz,0
76561198023630372,296
76561198107928649,28
76561198056352983,77
-Uplink-,123
76561198104404617,89
76561198076906240,67
76561198083468887,87
76561198071955492,123
76561198073799272,31
bruhbruhxd,82
combee3,8
skavenshere,154
Crazymac123,129
76561198050299999,54
thunderfuckers,38
76561198135673978,61
76561198045148546,229
76561198077244610,104
76561198063850360,26
76561198069905942,104
76561198019273712,27
76561198080465715,87
76561198079372619,33
76561198029895140,120
76561198004738568,114
76561198087693951,43
CrimsonStormFTW,69
cripla66,28
76561198054739976,24
76561198091425629,8
76561198064305132,28
crosph,293
76561198067214601,328
76561198017913139,146
OldLeakyBoat,282
SSAANNEESS,91
mauledbyabear,200
fatkris,110
cruzercru,45
getyourmarsbar,257
cryinghyena,76
76561198065836276,90
76561198053521572,139
76561198019737834,104
76561198107811819,124
aweoplopo,221
76561198042921883,126
kanekicg,126
76561198048024738,94
czechit,255
76561198084976671,45
Cupcake7412,94
76561198005096571,22
76561198080459808,70
cururaime,0
CustardGun,90
76561198106478135,35
76561198054793721,273
THE_ART_OF_FEEDING,195
jellybeanos,19
Cynex_,94
76561198039197193,85
76561198060007427,166
76561197996190797,22
76561197995146150,342
76561198064374976,104
76561198082559637,299
76561198086717808,7
76561198005111300,14
76561198033533646,0
DKA013,266
76561198069345625,87
76561198046589082,61
D00MS,42
76561198059201575,70
76561198084697776,46
76561198060901683,234
76561198017487606,22
daunknownman2010,102
76561198074763789,292
76561198093384503,58
DABLUICE,441
BlitzGames,198
76561198045342815,95
76561198025075751,130
76561198083358743,0
DaftyTM,65
76561198080199570,41
76561197992227006,201
DakkeR,437
76561198070775610,42
76561198012514677,65
76561198048133063,129
76561198053111161,34
76561197970691715,0
76561198070562447,16
76561198062767893,114
misterross,107
76561198044888778,13
mainkradxdxdx,22
76561198101576470,53
76561198060104521,37
76561198077033323,102
tomasives,74
Dante69123,169
Dantress,419
76561198079220364,0
whatsupyoutubeimethanbradberry,16
76561198082590151,17
DareTheSeal,102
blackcheeze,63
6dighero,337
76561198068040902,15
DarkDragonForce,145
76561198044594262,122
76561198136941803,37
76561198051001315,207
76561198021814659,373
76561198089726419,0
76561198078913614,130
supedarkone,194
76561198114824153,21
BOBROSSJPEGEXE,63
76561198046538761,0
blablabla174,54
fatppl,245
76561198050864519,0
76561198084702160,2
Dathrius85,122
shugozac,0
datts,50
76561198039026116,33
76561198025464161,106
sirkillsalot1337,0
76561198082545803,22
ZiggyPolvoEstelar,152
76561198115099755,100
76561198046045640,296
76561198011337408,44
daxzl,50
76561198047080140,33
76561198067158459,52
catzbread,52
76561198195091390,78
76561198061136470,38
damayo,164
76561198084697858,54
76561198008827809,547
UtaTokyoGhoul,143
shervey1,57
76561198039605834,0
Yugm,112
dblddr,43
deathbreath220,194
76561198086476823,76
76561198085463363,53
76561198162668758,39
76561198084112448,0
76561198097730477,27
76561197972151308,0
76561198089820203,38
76561198006780320,0
DeepCrysis,78
76561198030329440,162
DeerHunter666,12
Default456,61
76561198058166539,24
215251,35
76561198152193053,34
shay181,360
76561198073817826,88
degen97,1233
76561198091125007,242
76561197994831363,220
Delph,540
76561198046378610,0
deltalink21,265
76561198050438527,89
Qzt,119
76561198052661205,128
NZObiwan,206
DemonThunder,16
George_the_giraffe,59
76561198071716213,127
76561198065988138,0
Denied72,146
76561198034337192,92
76561198056953510,53
76561198047363411,115
76561198046816537,138
76561198194938153,29
GirBobjack,168
depozet,54
76561198068479124,46
GetMLGRekt,123
BoyangBao,123
meeman,339
fuzzygrilz,0
XxXGameSta101XxX,203
Derkness,49
bvProblem,14
76561198086282677,20
76561198116133680,6
76561198073517944,112
DerpyAura,211
Shano,237
76561198021745490,140
someguyinsteem,18
DERPYEGG,145
beepbeepimasheep,190
DerpyDoesntGiveAShit,94
76561198032293266,54
76561198057406795,23
76561198074942714,0
76561198084066563,127
76561198091717988,25
76561198126500843,49
76561198038261903,108
destruktikus,315
Des_Mondo,151
76561198077533366,287
76561198066881691,303
76561198042146054,275
76561198093191096,36
Device600,65
Devmabby,203
76561197980614542,139
76561198107732375,50
76561197971532272,0
76561198061601793,15
diamondexcavater,0
ohcd02323oidsf54sad8asdf89g8,0
76561198070069790,69
wenndiesoldaten,88
Kingoftheheavy,32
TacticalLynx,112
djman56,0
76561198056634976,30
76561198069149771,22
sir_afrodite,380
76561198114039731,48
digfernandes,567
dijakeplays,53
ohplsguuby,86
zelmar,79
76561198062359337,170
76561198078738809,8
76561198071578365,87
76561198021924659,0
76561198040096326,0
Dingo055,108
NathanielPeace,178
76561198069533335,0
76561198054421576,226
76561198127302850,94
76561198072486822,96
Diseption,46
76561198008029557,0
76561198099102298,14
76561197986594271,343
76561198077992470,25
76561198059166102,133
76561198038374904,217
76561198023646825,82
ShrikeShrikeShrikeShrikeShrike,53
lucifer666678,63
76561197994136663,80
efefuyg3g4u5u22u4yv,49
76561198064309861,144
76561198058711482,76
76561198072373072,39
76561198068746428,0
dimitriirfan,86
76561198064622636,52
Dobble,0
someorangecolour,0
76561198106067504,76
76561198023903233,49
KingOfOpportunity,169
doctorpotatoes,212
76561198103858676,20
76561198092981834,54
76561198083029873,39
76561198047825496,71
76561197994380497,76
76561198067939720,25
76561198070499931,36
1920410,87
76561198049760472,81
Joaothekiller,35
DomEE,69
76561198134221061,0
6294421419,116
76561198059347479,75
76561198076129408,77
hux_xl,0
AndyPandy44,151
Donwarren24,5
76561198081443272,181
regentorange,194
Doomsminator,47
